"id","aluno","materia","professor","data","dificuldade","nota","status"
1,"Aluno 1","Matéria 1","Professor 6","2025-03-13","Difícil","54.68","Reprovado"
2,"Aluno 1","Matéria 6","Professor 5","2025-03-13","Difícil","73.57","Aprovado"
3,"Aluno 1","Matéria 3","Professor 1","2025-03-13","Difícil","66.52","Reprovado"
4,"Aluno 1","Matéria 1","Professor 5","2025-03-13","Fácil","61.67","Reprovado"
5,"Aluno 1","Matéria 8","Professor 7","2025-03-13","Médio","30.45","Reprovado"
6,"Aluno 2","Matéria 3","Professor 8","2025-03-13","Difícil","77.25","Aprovado"
7,"Aluno 2","Matéria 5","Professor 6","2025-03-13","Difícil","50.85","Reprovado"
8,"Aluno 2","Matéria 10","Professor 1","2025-03-13","Difícil","25.05","Reprovado"
9,"Aluno 2","Matéria 5","Professor 4","2025-03-13","Médio","5.08","Reprovado"
10,"Aluno 2","Matéria 9","Professor 3","2025-03-13","Médio","35.87","Reprovado"
11,"Aluno 3","Matéria 9","Professor 10","2025-03-13","Difícil","25.56","Reprovado"
12,"Aluno 3","Matéria 5","Professor 2","2025-03-13","Difícil","9.23","Reprovado"
13,"Aluno 3","Matéria 4","Professor 4","2025-03-13","Difícil","68.71","Reprovado"
14,"Aluno 3","Matéria 10","Professor 7","2025-03-13","Fácil","27.38","Reprovado"
15,"Aluno 3","Matéria 8","Professor 4","2025-03-13","Médio","51.47","Reprovado"
16,"Aluno 4","Matéria 5","Professor 10","2025-03-13","Fácil","77.29","Aprovado"
17,"Aluno 4","Matéria 1","Professor 7","2025-03-13","Difícil","82.24","Aprovado"
18,"Aluno 4","Matéria 10","Professor 5","2025-03-13","Médio","60.48","Reprovado"
19,"Aluno 4","Matéria 1","Professor 7","2025-03-13","Fácil","97.59","Aprovado"
20,"Aluno 4","Matéria 10","Professor 1","2025-03-13","Médio","65.11","Reprovado"
21,"Aluno 5","Matéria 7","Professor 6","2025-03-13","Médio","10.09","Reprovado"
22,"Aluno 5","Matéria 10","Professor 5","2025-03-13","Médio","39.66","Reprovado"
23,"Aluno 5","Matéria 10","Professor 1","2025-03-13","Médio","34.42","Reprovado"
24,"Aluno 5","Matéria 6","Professor 8","2025-03-13","Difícil","82.62","Aprovado"
25,"Aluno 5","Matéria 8","Professor 8","2025-03-13","Médio","9.57","Reprovado"
26,"Aluno 6","Matéria 4","Professor 2","2025-03-13","Médio","61.06","Reprovado"
27,"Aluno 6","Matéria 1","Professor 9","2025-03-13","Difícil","77.97","Aprovado"
28,"Aluno 6","Matéria 6","Professor 2","2025-03-13","Fácil","46.11","Reprovado"
29,"Aluno 6","Matéria 9","Professor 10","2025-03-13","Médio","3.23","Reprovado"
30,"Aluno 6","Matéria 7","Professor 5","2025-03-13","Difícil","83.40","Aprovado"
31,"Aluno 7","Matéria 5","Professor 5","2025-03-13","Fácil","53.87","Reprovado"
32,"Aluno 7","Matéria 7","Professor 4","2025-03-13","Difícil","45.42","Reprovado"
33,"Aluno 7","Matéria 3","Professor 1","2025-03-13","Difícil","7.81","Reprovado"
34,"Aluno 7","Matéria 8","Professor 3","2025-03-13","Médio","61.40","Reprovado"
35,"Aluno 7","Matéria 2","Professor 6","2025-03-13","Difícil","13.94","Reprovado"
